date,region,infected,recovered,dead
2020-03-05,Республика Северная Осетия — Алания,0,0,0
2020-03-05,Республика Татарстан,0,0,0
2020-03-05,Республика Тыва,0,0,0
2020-03-05,Республика Хакасия,0,0,0
2020-03-05,Ростовская область,0,0,0
2020-03-05,Рязанская область,0,0,0
2020-03-05,Самарская область,0,0,0
2020-03-05,Санкт-Петербург,0,0,0
2020-03-05,Саратовская область,0,0,0
2020-03-05,Сахалинская область,0,0,0
2020-03-05,Свердловская область,0,0,0
2020-03-05,Севастополь,0,0,0
2020-03-05,Смоленская область,0,0,0
2020-03-05,Ставропольский край,0,0,0
2020-03-05,Тамбовская область,0,0,0
2020-03-05,Тверская область,0,0,0
2020-03-05,Томская область,0,0,0
2020-03-05,Тульская область,0,0,0
2020-03-05,Тюменская область,0,0,0
2020-03-05,Удмуртская Республика,0,0,0
2020-03-05,Ульяновская область,0,0,0
2020-03-05,Хабаровский край,0,0,0
2020-03-05,Ханты-Мансийский автономный округ — Югра,0,0,0
2020-03-05,Челябинская область,0,0,0
2020-03-05,Чеченская Республика,0,0,0
2020-03-05,Чувашская Республика,0,0,0
2020-03-05,Чукотский автономный округ,0,0,0
2020-03-05,Ямало-Ненецкий автономный округ,0,0,0
2020-03-05,Ярославская область,0,0,0
2020-03-06,Алтайский край,0,0,0
2020-03-06,Амурская область,0,0,0
2020-03-06,Архангельская область,0,0,0
2020-03-06,Астраханская область,0,0,0
2020-03-06,Белгородская область,0,0,0
2020-03-06,Брянская область,0,0,0
2020-03-06,Владимирская область,0,0,0
2020-03-06,Волгоградская область,0,0,0
2020-03-06,Вологодская область,0,0,0
2020-03-06,Воронежская область,0,0,0
2020-03-06,Еврейская автономная область,0,0,0
2020-03-06,Забайкальский край,0,0,0
2020-03-06,Ивановская область,0,0,0
2020-03-06,Иркутская область,0,0,0
2020-03-06,Кабардино-Балкарская Республика,0,0,0
2020-03-06,Калининградская область,0,0,0
2020-03-06,Калужская область,0,0,0
2020-03-06,Камчатский край,0,0,0
2020-03-06,Карачаево-Черкесская Республика,0,0,0
2020-03-06,Кемеровская область,0,0,0
2020-03-06,Кировская область,0,0,0
2020-03-06,Костромская область,0,0,0
2020-03-06,Краснодарский край,0,0,0
2020-03-06,Красноярский край,0,0,0
2020-03-06,Курганская область,0,0,0
2020-03-06,Курская область,0,0,0
2020-03-06,Ленинградская область,0,0,0
2020-03-06,Липецкая область,0,0,0
2020-03-06,Магаданская область,0,0,0
2020-03-06,Москва,5,0,0
2020-03-06,Московская область,1,0,0
2020-03-06,Мурманская область,0,0,0
2020-03-06,Ненецкий автономный округ,0,0,0
2020-03-06,Нижегородская область,1,0,0
2020-03-06,Новгородская область,0,0,0
2020-03-06,Новосибирская область,0,0,0
2020-03-06,Омская область,0,0,0
2020-03-06,Оренбургская область,0,0,0
2020-03-06,Орловская область,0,0,0
2020-03-06,Пензенская область,0,0,0
2020-03-06,Пермский край,0,0,0
2020-03-06,Приморский край,0,0,0
2020-03-06,Псковская область,0,0,0
2020-03-06,Республика Адыгея,0,0,0
2020-03-06,Республика Алтай,0,0,0
2020-03-06,Республика Башкортостан,0,0,0
2020-03-06,Республика Бурятия,0,0,0
2020-03-06,Республика Дагестан,0,0,0
2020-03-06,Республика Ингушетия,0,0,0
2020-03-06,Республика Калмыкия,0,0,0
2020-03-06,Республика Карелия,0,0,0
2020-03-06,Республика Коми,0,0,0
2020-03-06,Республика Крым,0,0,0
2020-03-06,Республика Марий Эл,0,0,0
2020-03-06,Республика Мордовия,0,0,0
2020-03-06,Республика Саха (Якутия),0,0,0
2020-03-06,Республика Северная Осетия — Алания,0,0,0
2020-03-06,Республика Татарстан,0,0,0
2020-03-06,Республика Тыва,0,0,0
2020-03-06,Республика Хакасия,0,0,0
2020-03-06,Ростовская область,0,0,0
2020-03-06,Рязанская область,0,0,0
2020-03-06,Самарская область,0,0,0
2020-03-06,Санкт-Петербург,0,0,0
2020-03-06,Саратовская область,0,0,0
2020-03-06,Сахалинская область,0,0,0
2020-03-06,Свердловская область,0,0,0
2020-03-06,Севастополь,0,0,0
2020-03-06,Смоленская область,0,0,0
2020-03-06,Ставропольский край,0,0,0
2020-03-06,Тамбовская область,0,0,0
2020-03-06,Тверская область,0,0,0
2020-03-06,Томская область,0,0,0
2020-03-06,Тульская область,0,0,0
2020-03-06,Тюменская область,0,0,0
2020-03-06,Удмуртская Республика,0,0,0
2020-03-06,Ульяновская область,0,0,0
2020-03-06,Хабаровский край,0,0,0
2020-03-06,Ханты-Мансийский автономный округ — Югра,0,0,0
2020-03-06,Челябинская область,0,0,0
2020-03-06,Чеченская Республика,0,0,0
2020-03-06,Чувашская Республика,0,0,0
2020-03-06,Чукотский автономный округ,0,0,0
2020-03-06,Ямало-Ненецкий автономный округ,0,0,0
2020-03-06,Ярославская область,0,0,0
2020-03-07,Алтайский край,0,0,0
2020-03-07,Амурская область,0,0,0
2020-03-07,Архангельская область,0,0,0
2020-03-07,Астраханская область,0,0,0
2020-03-07,Белгородская область,0,0,0
2020-03-07,Брянская область,0,0,0
2020-03-07,Владимирская область,0,0,0
2020-03-07,Волгоградская область,0,0,0
2020-03-07,Вологодская область,0,0,0
2020-03-07,Воронежская область,0,0,0
2020-03-07,Еврейская автономная область,0,0,0
2020-03-07,Забайкальский край,0,0,0
2020-03-07,Ивановская область,0,0,0
2020-03-07,Иркутская область,0,0,0
2020-03-07,Кабардино-Балкарская Республика,0,0,0
2020-03-07,Калининградская область,0,0,0
2020-03-07,Калужская область,0,0,0
2020-03-07,Камчатский край,0,0,0
2020-03-07,Карачаево-Черкесская Республика,0,0,0
2020-03-07,Кемеровская область,0,0,0
2020-03-07,Кировская область,0,0,0
2020-03-07,Костромская область,0,0,0
2020-03-07,Краснодарский край,0,0,0
2020-03-07,Красноярский край,0,0,0
2020-03-07,Курганская область,0,0,0
2020-03-07,Курская область,0,0,0
2020-03-07,Ленинградская область,0,0,0
2020-03-07,Липецкая область,3,0,0
2020-03-07,Магаданская область,0,0,0
2020-03-07,Москва,5,0,0
2020-03-07,Московская область,1,0,0
2020-03-07,Мурманская область,0,0,0
2020-03-07,Ненецкий автономный округ,0,0,0
2020-03-07,Нижегородская область,1,0,0
2020-03-07,Новгородская область,0,0,0
2020-03-07,Новосибирская область,0,0,0
2020-03-07,Омская область,0,0,0
2020-03-07,Оренбургская область,0,0,0
2020-03-07,Орловская область,0,0,0
2020-03-07,Пензенская область,0,0,0
2020-03-07,Пермский край,0,0,0
2020-03-07,Приморский край,0,0,0
2020-03-07,Псковская область,0,0,0
2020-03-07,Республика Адыгея,0,0,0
2020-03-07,Республика Алтай,0,0,0
2020-03-07,Республика Башкортостан,0,0,0
2020-03-07,Республика Бурятия,0,0,0
2020-03-07,Республика Дагестан,0,0,0
2020-03-07,Республика Ингушетия,0,0,0
2020-03-07,Республика Калмыкия,0,0,0
2020-03-07,Республика Карелия,0,0,0
2020-03-07,Республика Коми,0,0,0
2020-03-07,Республика Крым,0,0,0
2020-03-07,Республика Марий Эл,0,0,0
2020-03-07,Республика Мордовия,0,0,0
2020-03-07,Республика Саха (Якутия),0,0,0
2020-03-07,Республика Северная Осетия — Алания,0,0,0
2020-03-07,Республика Татарстан,0,0,0
2020-03-07,Республика Тыва,0,0,0
2020-03-07,Республика Хакасия,0,0,0
2020-03-07,Ростовская область,0,0,0
2020-03-07,Рязанская область,0,0,0
2020-03-07,Самарская область,0,0,0
2020-03-07,Санкт-Петербург,1,0,0
2020-03-07,Саратовская область,0,0,0
2020-03-07,Сахалинская область,0,0,0
2020-03-07,Свердловская область,0,0,0
2020-03-07,Севастополь,0,0,0
2020-03-07,Смоленская область,0,0,0
2020-03-07,Ставропольский край,0,0,0
2020-03-07,Тамбовская область,0,0,0
2020-03-07,Тверская область,0,0,0
2020-03-07,Томская область,0,0,0
2020-03-07,Тульская область,0,0,0
2020-03-07,Тюменская область,0,0,0
2020-03-07,Удмуртская Республика,0,0,0
2020-03-07,Ульяновская область,0,0,0
2020-03-07,Хабаровский край,0,0,0
2020-03-07,Ханты-Мансийский автономный округ — Югра,0,0,0
2020-03-07,Челябинская область,0,0,0
2020-03-07,Чеченская Республика,0,0,0
2020-03-07,Чувашская Республика,0,0,0
2020-03-07,Чукотский автономный округ,0,0,0
2020-03-07,Ямало-Ненецкий автономный округ,0,0,0
2020-03-07,Ярославская область,0,0,0
2020-03-08,Алтайский край,0,0,0
2020-03-08,Амурская область,0,0,0
2020-03-08,Архангельская область,0,0,0
2020-03-08,Астраханская область,0,0,0
2020-03-08,Белгородская область,1,0,0
2020-03-08,Брянская область,0,0,0
2020-03-08,Владимирская область,0,0,0
2020-03-08,Волгоградская область,0,0,0
2020-03-08,Вологодская область,0,0,0
2020-03-08,Воронежская область,0,0,0
2020-03-08,Еврейская автономная область,0,0,0
2020-03-08,Забайкальский край,0,0,0
2020-03-08,Ивановская область,0,0,0
2020-03-08,Иркутская область,0,0,0
2020-03-08,Кабардино-Балкарская Республика,0,0,0
2020-03-08,Калининградская область,1,0,0
2020-03-08,Калужская область,0,0,0
2020-03-08,Камчатский край,0,0,0
2020-03-08,Карачаево-Черкесская Республика,0,0,0
2020-03-08,Кемеровская область,0,0,0
2020-03-08,Кировская область,0,0,0
2020-03-08,Костромская область,0,0,0
2020-03-08,Краснодарский край,0,0,0
2020-03-08,Красноярский край,0,0,0
2020-03-08,Курганская область,0,0,0
2020-03-08,Курская область,0,0,0
2020-03-08,Ленинградская область,0,0,0
2020-03-08,Липецкая область,3,0,0
2020-03-08,Магаданская область,0,0,0
2020-03-08,Москва,5,0,0
2020-03-08,Московская область,2,0,0
2020-03-08,Мурманская область,0,0,0
2020-03-08,Ненецкий автономный округ,0,0,0
2020-03-08,Нижегородская область,1,0,0
2020-03-08,Новгородская область,0,0,0
2020-03-08,Новосибирская область,0,0,0
2020-03-08,Омская область,0,0,0
2020-03-08,Оренбургская область,0,0,0
2020-03-08,Орловская область,0,0,0
2020-03-08,Пензенская область,0,0,0
2020-03-08,Пермский край,0,0,0
2020-03-08,Приморский край,0,0,0
2020-03-08,Псковская область,0,0,0
2020-03-08,Республика Адыгея,0,0,0
2020-03-08,Республика Алтай,0,0,0
2020-03-08,Республика Башкортостан,0,0,0
2020-03-08,Республика Бурятия,0,0,0
2020-03-08,Республика Дагестан,0,0,0
2020-03-08,Республика Ингушетия,0,0,0
2020-03-08,Республика Калмыкия,0,0,0
2020-03-08,Республика Карелия,0,0,0
2020-03-08,Республика Коми,0,0,0
2020-03-08,Республика Крым,0,0,0
2020-03-08,Республика Марий Эл,0,0,0
2020-03-08,Республика Мордовия,0,0,0
2020-03-08,Республика Саха (Якутия),0,0,0
2020-03-08,Республика Северная Осетия — Алания,0,0,0
2020-03-08,Республика Татарстан,0,0,0
2020-03-08,Республика Тыва,0,0,0
2020-03-08,Республика Хакасия,0,0,0
2020-03-08,Ростовская область,0,0,0
2020-03-08,Рязанская область,0,0,0
2020-03-08,Самарская область,0,0,0
2020-03-08,Санкт-Петербург,1,0,0
2020-03-08,Саратовская область,0,0,0
2020-03-08,Сахалинская область,0,0,0
2020-03-08,Свердловская область,0,0,0
2020-03-08,Севастополь,0,0,0
2020-03-08,Смоленская область,0,0,0
2020-03-08,Ставропольский край,0,0,0
2020-03-08,Тамбовская область,0,0,0
2020-03-08,Тверская область,0,0,0
2020-03-08,Томская область,0,0,0
2020-03-08,Тульская область,0,0,0
2020-03-08,Тюменская область,0,0,0
2020-03-08,Удмуртская Республика,0,0,0
2020-03-08,Ульяновская область,0,0,0
2020-03-08,Хабаровский край,0,0,0
2020-03-08,Ханты-Мансийский автономный округ — Югра,0,0,0
2020-03-08,Челябинская область,0,0,0
2020-03-08,Чеченская Республика,0,0,0
2020-03-08,Чувашская Республика,0,0,0
2020-03-08,Чукотский автономный округ,0,0,0
2020-03-08,Ямало-Ненецкий автономный округ,0,0,0
2020-03-08,Ярославская область,0,0,0
2020-03-09,Алтайский край,0,0,0
2020-03-09,Амурская область,0,0,0
2020-03-09,Архангельская область,0,0,0
2020-03-09,Астраханская область,0,0,0
2020-03-09,Белгородская область,1,0,0
2020-03-09,Брянская область,0,0,0
2020-03-09,Владимирская область,0,0,0
2020-03-09,Волгоградская область,0,0,0
2020-03-09,Вологодская область,0,0,0
2020-03-09,Воронежская область,0,0,0
2020-03-09,Еврейская автономная область,0,0,0
2020-03-09,Забайкальский край,0,0,0
2020-03-09,Ивановская область,0,0,0
2020-03-09,Иркутская область,0,0,0
2020-03-09,Кабардино-Балкарская Республика,0,0,0
2020-03-09,Калининградская область,1,0,0
2020-03-09,Калужская область,0,0,0
2020-03-09,Камчатский край,0,0,0
2020-03-09,Карачаево-Черкесская Республика,0,0,0
2020-03-09,Кемеровская область,0,0,0
2020-03-09,Кировская область,0,0,0
2020-03-09,Костромская область,0,0,0
2020-03-09,Краснодарский край,0,0,0
2020-03-09,Красноярский край,0,0,0
2020-03-09,Курганская область,0,0,0
2020-03-09,Курская область,0,0,0
2020-03-09,Ленинградская область,0,0,0
2020-03-09,Липецкая область,3,0,0
2020-03-09,Магаданская область,0,0,0
2020-03-09,Москва,8,0,0
2020-03-09,Московская область,2,0,0
2020-03-09,Мурманская область,0,0,0
2020-03-09,Ненецкий автономный округ,0,0,0
2020-03-09,Нижегородская область,1,0,0
2020-03-09,Новгородская область,0,0,0
2020-03-09,Новосибирская область,0,0,0
2020-03-09,Омская область,0,0,0
2020-03-09,Оренбургская область,0,0,0
2020-03-09,Орловская область,0,0,0
2020-03-09,Пензенская область,0,0,0
2020-03-09,Пермский край,0,0,0
2020-03-09,Приморский край,0,0,0
2020-03-09,Псковская область,0,0,0
2020-03-09,Республика Адыгея,0,0,0
2020-03-09,Республика Алтай,0,0,0
2020-03-09,Республика Башкортостан,0,0,0
2020-03-09,Республика Бурятия,0,0,0
2020-03-09,Республика Дагестан,0,0,0
2020-03-09,Республика Ингушетия,0,0,0
2020-03-09,Республика Калмыкия,0,0,0
2020-03-09,Республика Карелия,0,0,0
2020-03-09,Республика Коми,0,0,0
2020-03-09,Республика Крым,0,0,0
2020-03-09,Республика Марий Эл,0,0,0
2020-03-09,Республика Мордовия,0,0,0
2020-03-09,Республика Саха (Якутия),0,0,0
2020-03-09,Республика Северная Осетия — Алания,0,0,0
2020-03-09,Республика Татарстан,0,0,0
2020-03-09,Республика Тыва,0,0,0
2020-03-09,Республика Хакасия,0,0,0
2020-03-09,Ростовская область,0,0,0
2020-03-09,Рязанская область,0,0,0
2020-03-09,Самарская область,0,0,0
2020-03-09,Санкт-Петербург,1,0,0
2020-03-09,Саратовская область,0,0,0
2020-03-09,Сахалинская область,0,0,0
2020-03-09,Свердловская область,0,0,0
2020-03-09,Севастополь,0,0,0
2020-03-09,Смоленская область,0,0,0
